Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:23.785
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:24.492
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:25.198
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:25.905
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:26.611
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:27.318
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:28.025
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:28.731
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:29.438
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:30.145
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:21:30.851
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:21:32.251
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:21:32.958
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:21:33.665
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:21:34.371
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:21:35.078
