Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:41.149
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:41.856
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:42.563
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:43.269
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:43.976
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:44.683
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:46.083
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:46.790
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:48.190
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:48.897
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:49.604
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:50.310
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:51.017
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:52.419
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:53.124
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:53.830
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:54.537
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:55.244
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:27:55.950
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:57.350
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:58.057
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:58.764
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:27:59.470
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:28:00.177
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:28:00.883
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:28:01.590
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:02.990
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:03.696
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:04.403
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:05.110
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:05.816
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:28:06.522
