Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:02.169
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:02.876
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:03.582
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:04.289
0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:04.996
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:05.702
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:06.409
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:07.116
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:35:07.823
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:09.223
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:09.930
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:10.637
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:11.343
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:12.050
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:35:12.757
