Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:55.685
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:56.299
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:56.913
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:57.526
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:58.140
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:58.754
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:59.367
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:23:59.981
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:00.595
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:01.208
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:01.822
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:02.436
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:03.049
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:03.663
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:04.277
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:04.891
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:05.505
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:06.119
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:06.733
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:07.347
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:07.960
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:08.574
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:09.188
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:09.802
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:10.415
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:11.029
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:11.643
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:12.257
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:12.871
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:13.484
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:14.098
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:14.711
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:15.325
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:15.939
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13:24:16.553
