Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:54.056
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:54.762
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:55.469
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:56.175
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:56.882
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:57.589
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:58.296
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:12:59.696
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:00.403
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:01.109
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:01.816
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:02.523
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:03.230
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:03.937
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:04.644
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17:13:05.351
