Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:25:47.461
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:25:48.168
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:25:48.874
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:25:49.581
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:25:50.287
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:25:51.687
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:25:52.394
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:25:53.101
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:25:53.808
