Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:19.110
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:19.816
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:20.523
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:21.230
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:21.936
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:22.643
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:23.349
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:24.056
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:24.763
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:25.470
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:26.871
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:27.578
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:28.285
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:28.992
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:29.699
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:30.406
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:31.113
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:31.820
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:32.527
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:34.621
0.0,32.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:38.790
0.0,32.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:39.497
0.0,32.25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:40.203
0.0,32.75,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:40.911
0.0,32.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:41.617
0.0,32.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:42.324
0.0,32.25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:43.032
0.0,32.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:43.739
0.0,32.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:44.445
0.0,32.75,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:45.152
0.0,32.25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:45.860
0.0,32.25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:46.567
0.0,32.25,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:47.273
0.0,32.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:47.980
0.0,32.75,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:25:48.687
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:58.875
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:25:59.581
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:26:00.288
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:26:00.995
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:26:01.702
