Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:43.988
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:44.697
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:45.402
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:46.109
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:46.816
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:47.524
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:48.236
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:48.944
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:35:49.650
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:51.046
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:51.753
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:52.460
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:53.167
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:53.875
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:54.583
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:55.288
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:55.996
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:56.708
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:57.416
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:35:58.121
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:05.701
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:06.406
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:07.116
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:07.826
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:08.531
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:09.243
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:09.950
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:10.655
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:11.360
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:12.069
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:12.777
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:13.481
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:14.188
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:14.897
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:15.604
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:16.308
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:17.015
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:36:17.720
