Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:45.608
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:46.315
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:47.022
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:47.729
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:48.437
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:49.143
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:49.850
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:32:50.557
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:51.957
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:52.665
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:53.371
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:54.078
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:54.785
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:55.492
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:56.199
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:56.906
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:32:57.613
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:04.824
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:05.376
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:06.083
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:06.790
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:07.499
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:08.204
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:08.911
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:09.618
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:10.325
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:11.032
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:11.738
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:12.445
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:13.152
0.0,32.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:13.859
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:14.566
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:15.273
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:15.981
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:16.687
0.0,32.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:17.394
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:18.101
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:18.808
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:19.516
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:20.223
0.0,32.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16:33:20.930
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:38.444
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:39.151
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:39.858
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:40.566
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:41.273
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:41.981
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:42.687
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:43.395
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:44.102
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:44.810
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:45.518
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:46.224
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:46.932
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:47.640
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:48.347
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:49.054
0.0,32.0,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:49.762
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:50.469
0.0,32.25,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:51.177
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:51.884
0.0,32.5,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:52.591
0.0,31.75,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:53.298
0.0,31.75,150.0,10.0,0.333,200.0,0.0,0.0,0.0,1,16:33:54.005
