Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:23.344
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:24.045
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:24.747
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:25.448
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:26.149
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:26.851
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:27.552
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:28.254
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:28.955
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:29.657
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:30.358
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:31.059
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:31.761
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:32.462
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:33.163
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:33.865
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:34.566
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:35.267
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:35.969
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:36.670
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:37.371
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:38.073
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:38.774
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12:43:39.475
