Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:27:58.662
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:27:59.368
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:00.075
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:00.782
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:01.488
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:02.194
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:02.902
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:03.608
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:04.315
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:05.022
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:05.729
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:06.436
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:07.142
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15:28:07.849
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:09.249
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:09.956
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:10.662
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:11.369
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:12.076
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:12.786
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15:28:13.490
