Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:19.097
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:19.804
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:20.511
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:21.218
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:21.924
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:22.631
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:23.338
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:24.045
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:24.752
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17:12:25.458
