Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:36:58.559
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:36:59.572
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:00.582
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:01.591
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:02.599
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:03.606
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:04.627
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:05.636
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:06.649
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:07.657
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:08.664
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:09.671
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:10.686
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:11.694
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:12.701
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:13.708
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:14.718
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:15.724
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:16.732
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:17.738
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:18.745
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:19.754
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,09:37:20.761
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:21.768
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:22.776
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:26.806
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:27.813
0.0,32.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:28.821
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:29.829
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:30.835
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,09:37:31.843
