Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:17.496
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:18.509
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:19.516
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:20.523
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:21.529
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10:49:22.536
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-7.0,1,10:49:24.546
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-7.0,1,10:49:25.553
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-7.0,1,10:49:26.560
0.0,31.25,25.0,0.0,0.0,0.0,-6.25,0.0,0.75,1,10:49:28.571
0.0,31.25,25.0,0.0,0.0,0.0,-6.25,0.0,0.75,1,10:49:29.578
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.75,1,10:49:31.589
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.75,1,10:49:32.596
0.0,31.75,25.0,0.0,0.0,0.0,-7.0,0.0,-0.75,1,10:49:33.606
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:35.616
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:37.626
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:38.636
0.0,31.5,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:39.645
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:41.656
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,0.0,1,10:49:42.663
0.0,31.75,25.0,0.0,0.0,0.0,-6.75,0.0,0.25,1,10:49:44.674
0.0,31.75,25.0,0.0,0.0,0.0,-6.75,0.0,0.25,1,10:49:45.680
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.25,1,10:49:47.690
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.25,1,10:49:48.702
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.25,1,10:49:49.709
0.0,31.5,25.0,0.0,0.0,0.0,-6.5,0.0,0.5,1,10:49:51.719
0.0,31.75,25.0,0.0,0.0,0.0,-6.5,0.0,0.5,1,10:49:52.729
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.5,1,10:49:54.742
0.0,32.0,25.0,0.0,0.0,0.0,-7.0,0.0,-0.5,1,10:49:55.751
0.0,31.75,150.0,0.0,0.0,0.0,118.25,0.0,125.25,1,10:49:57.764
0.0,31.75,150.0,10.0,0.5,0.0,118.25,0.0,0.0,1,10:49:59.777
0.0,31.5,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:00.785
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:02.795
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:03.802
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:04.823
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:06.842
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:07.866
0.0,31.5,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:08.879
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:10.895
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:11.923
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:12.945
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:14.959
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:15.980
0.0,32.0,150.0,10.0,0.5,300.0,118.25,0.0,0.0,1,10:50:17.008
0.0,31.5,150.0,10.0,0.5,300.0,118.5,0.0,0.25,1,10:50:19.052
0.0,31.5,150.0,10.0,0.5,300.0,118.5,0.0,0.25,1,10:50:20.075
0.0,32.0,150.0,10.0,0.5,300.0,118.5,0.0,0.25,1,10:50:21.091
0.0,31.5,150.0,10.0,0.5,300.0,118.5,0.0,0.0,1,10:50:23.107
0.0,31.5,150.0,10.0,0.5,300.0,118.5,0.0,0.0,1,10:50:24.135
0.0,31.5,150.0,10.0,0.5,300.0,118.5,0.0,0.0,1,10:50:25.151
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,-0.25,1,10:50:27.170
0.0,31.25,150.0,10.0,0.5,300.0,118.25,0.0,-0.25,1,10:50:28.177
0.0,32.0,150.0,10.0,0.5,300.0,118.0,0.0,-0.25,1,10:50:30.188
0.0,32.0,150.0,10.0,0.5,300.0,118.0,0.0,-0.25,1,10:50:31.200
0.0,31.75,150.0,10.0,0.5,300.0,118.25,0.0,0.25,1,10:50:33.212
