Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:54.321
0.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:55.332
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:56.338
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:57.345
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:58.355
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:34:59.366
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:35:00.373
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:35:01.380
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:35:02.387
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:35:03.393
0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,08:35:04.404
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:05.415
0.0,31.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:06.422
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:07.428
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:08.435
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:09.442
0.0,31.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:10.450
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:14.479
0.0,31.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:15.487
0.0,31.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:16.495
0.0,31.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:17.503
0.0,31.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:18.510
0.0,31.75,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:19.520
0.0,31.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:20.530
0.0,31.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:21.537
0.0,31.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:22.545
0.0,31.25,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:23.558
0.0,31.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,08:35:24.568
0.0,31.75,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:25.783
0.0,31.75,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:26.791
0.0,31.75,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:27.806
0.0,31.75,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:28.816
0.0,31.5,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:29.832
0.0,31.75,150.0,10.0,0.5,300.0,0.0,0.0,0.0,1,08:35:30.841
